listing_id,date,num_reviews,reviewers
5842921,2026-01-01,6,"32018474,484994963,545807259,596395894,570508802,97045769"
5842921,2025-09-01,6,"122433310,599293339,449396059,490072851,53436518,215922666"
5842921,2026-04-01,2,"62084872,425840845"
5842921,2025-12-01,5,"17679946,334319062,38163771,163078298,65799896"
5842921,2025-08-01,5,"114791982,50305219,218358084,55274226,425533620"
20905047,2026-05-01,1,753789932
20905047,2026-01-01,1,709501899
20905047,2025-06-01,1,422010428
26555806,2026-03-01,4,"307087177,432987330,190028489,288763315"
26555806,2026-01-01,2,"270787199,98861417"
26555806,2025-11-01,3,"66010039,149794704,322171943"
26555806,2025-09-01,2,"174679574,687364771"
26555806,2026-04-01,3,"2578810,28214379,2064494"
26555806,2026-02-01,1,133778167
26555806,2025-12-01,5,"36876321,510752232,44212402,12247250,410841187"
26555806,2025-10-01,2,"59073889,551431989"
26555806,2025-08-01,2,"9426325,182965904"
26555806,2025-06-01,4,"16597908,50174686,87435942,2741253"
29042007,2025-09-01,1,123932817
25902967,2025-07-01,1,268368079
29169779,2026-05-01,2,"596444624,311404854"
29169779,2026-03-01,5,"712289653,27550425,132745866,379827212,20521409"
29169779,2025-07-01,3,"666104900,562608883,552762826"
29169779,2025-09-01,2,"582428674,408306679"
29169779,2025-11-01,4,"30941355,531549894,467522113,726167752"
29169779,2026-01-01,4,"439110711,376917046,400879564,261037006"
29169779,2026-04-01,6,"405725793,437778402,183225434,441682842,401197040,132508318"
29169779,2026-02-01,5,"132413749,43560868,548318909,470896300,553714537"
29169779,2025-06-01,2,"411385960,502708570"
29169779,2025-08-01,1,105819221
29169779,2025-10-01,3,"169315281,338318383,391552542"
29169779,2025-12-01,4,"525623877,299220409,214875088,44687948"
33869689,2026-03-01,1,528295281
33869689,2026-01-01,1,724189356
20645822,2025-11-01,1,100602996
20645822,2026-02-01,1,726922252
